dateTime,open,high,low,close,volume,RSI21,VWAP,SMA21,EMA21,WMA21,MACD8_21
2021-06-11 23:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 00:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 01:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 02:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 03:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 04:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 05:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:39:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:42:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:45:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:48:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:51:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:54:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 06:57:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:00:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:03:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:06:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:09:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:12:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:15:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:18:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:21:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:24:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:27:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:30:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:33:00,,,,,,55.72,,,15814.77,,2.7937576658205217
2021-06-12 07:36:00,,,,,,55.72,,,15814.77,,2.7937576658205217
